id,name,category,unit_price_cad,item_type
F001,Classic Burger,Mains,17.99,food
F002,Chicken Wings,Appetizers,15.49,food
F003,Nachos Supreme,Appetizers,16.99,food
F004,Mac & Cheese,Mains,14.49,food
F005,BBQ Ribs Half Rack,Mains,23.99,food
F006,Caesar Salad,Salads,12.49,food
F007,Veggie Pizza,Mains,18.99,food
F008,Steak Sandwich,Mains,21.49,food
F009,Fish Tacos,Mains,16.49,food
F010,Chocolate Lava Cake,Desserts,8.99,food
F011,Cheesecake,Desserts,8.49,food
F012,Poutine,Appetizers,9.99,food
D001,Soft Drink,Non-alcoholic,3.49,drink
D002,Bottled Water,Non-alcoholic,2.99,drink
D003,Coffee,Non-alcoholic,3.29,drink
D004,Draft Beer Pint,Alcoholic,8.49,drink
D005,House Wine 6oz,Alcoholic,9.99,drink
D006,Margarita,Cocktail,12.49,drink
D007,Old Fashioned,Cocktail,13.49,drink
D008,Iced Tea,Non-alcoholic,3.49,drink
D009,Energy Drink,Non-alcoholic,4.99,drink
E001,Arcade Credits 20,Arcade,20.0,entertainment
E002,Arcade Credits 40,Arcade,40.0,entertainment
E003,VR Experience,VR,14.99,entertainment
E004,Billiards Hour,Billiards,18.0,entertainment
E005,Bowling Game,Bowling,8.0,entertainment
E006,Skee-Ball Pack,Arcade,10.0,entertainment
E007,Air Hockey 30 mins,Arcade,9.0,entertainment
